image,date,price,currency
https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/f6/f61a6c7e-c7d3-4fe6-a389-6290c7cb56ec?rule=kijijica-200-jpg,< 2 hours ago,"2,500.00",$
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/e6/e63cef3d-1f8b-44ec-9475-99fe114ff486?rule=kijijica-200-jpg,< 2 hours ago,"2,799.00",$
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/f5/f5dd4690-826c-4f65-bba0-ea782f357cfd?rule=kijijica-200-jpg,< 2 hours ago,"1,662.00",$
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/be/be4ddfaf-d20f-448e-8489-2596c063e49a?rule=kijijica-200-jpg,< 2 hours ago,"1,609.00",$
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/83/836dc9c6-3d2b-4914-bdcd-515eaaa1554d?rule=kijijica-200-jpg,< 2 hours ago,"2,249.00",$
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/21/21a048db-b5dd-40bb-b480-34af0b5c6d5b?rule=kijijica-200-jpg,< 2 hours ago,"2,345.00",$
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/77/773b3c01-224e-424c-99fb-8ce03e333e9c?rule=kijijica-200-jpg,< 2 hours ago,"1,899.00",$
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/20/2046cc9b-1711-467a-b4df-03cac6032cd1?rule=kijijica-200-jpg,< 2 hours ago,"2,881.00",$
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/73/73c6c1e5-99eb-4e48-a84b-cc6a91322a2a?rule=kijijica-200-jpg,< 2 hours ago,"2,033.00",$
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/98/98081b74-38a0-4720-9298-3881602a30a2?rule=kijijica-200-jpg,< 2 hours ago,"2,029.00",$
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/ad/ad9f33e4-9112-42af-8ccf-4357c2fc3bf8?rule=kijijica-200-jpg,< 2 hours ago,"2,535.00",$
